UNLOCODE	Countrycode	Town	Long	Lat	top500_id	meril_id	Source
	AQ	Dronning Maud Land	23.3457	-71.9500		15353	googlemaps
	AR	Mendoza	-68.8443	-32.8897		15681	osm
	AT	Wiener Neustadt	16.2440	47.8132		15824	osm
AT 	AT				50672		top500
AT GRZ	AT	Graz	15.4500	47.0667		14644;14632;15554;15819	unlocode
AT KTU	AT	Klosterneuburg	16.3167	48.3000		15497	unlocode
AT LNZ	AT	Linz	14.3000	48.3000		14693;15830	unlocode
AT RAU	AT	Rauris	13.0000	47.2167		14450	unlocode
AT VIE	AT	Vienna	16.3667	48.2000	50345	15825;15827;15498;15816;15828	unlocode
AT VIE	AT	Wien	16.3667	48.2000		15821;15826;14658;15478;15500;15810	unlocode
	BE	Antwerp	4.3997	51.2211		15354	osm
	BE	Brussels	4.3517	50.8466		15647;15491;15555;15606;15733;15356;15638	osm
	BE	Elsene	4.3816	50.8223		15410	osm
	BE	Gent	3.7250	51.0538		15300	osm
	BE	Oostende	2.9203	51.2303		15100	osm
	BE	Rhode-St-Genèse	4.3464	50.7450		15537	osm
	BE	Sart-Tilman	5.5709	50.5912		15370	osm
	BE	Viroinval (Dourbes)	4.5886	50.0937		15339	googlemaps
BE GEL	BE	Geel	5.0000	51.1667		15378	unlocode
BE GOS	BE	Gosselies	4.4167	50.4667		15357	unlocode
BE HVB	BE	Heverlee	4.7000	50.8667		15358;15853;15835	unlocode
BE LEU	BE	Leuven	4.7000	50.8833		15363	unlocode
BE LGG	BE	Liège	5.5667	50.6333		15368	unlocode
BE MIS	BE	Meise	4.3333	50.9333		15854	unlocode
BE MLO	BE	Mol	5.1000	51.1833		15802	unlocode
BE TEN	BE	Tervuren	4.5167	50.8167		14842	unlocode
BG SOF	BG	Sofia	23.3167	42.6833		15439;15845;15981	unlocode
	CH	Basel	7.5878	47.5581		15908	osm
	CH	Genève	6.1466	46.2018		15393;14715;15705;15597	osm
	CH	Lausanne	6.6327	46.5218		15531	osm
	CH	Zürich	8.5423	47.3724		15589	osm
CH LUG	CH	Lugano	8.9512	46.0057	50422		googlemaps
CH MEY	CH	Meyrin	6.0667	46.2333		15699	unlocode
CH VLG	CH	Villigen	8.2167	47.5167		15754;15755	unlocode
	CV	Calhou	-24.8676	16.8640		15482	osm
	CY	Aglantzia	33.3977	35.1524		15205;15327	osm
	CY	Nicosia	33.3748	35.1600		14646	googlemaps
CY LMS	CY	Limassol	33.0500	34.6833		15034;15181	unlocode
CY NIC	CY	Nicosia	33.3667	35.1667		15458	unlocode
